book_name;book_author
DIÁRIO DE UMA TOTÓ - HISTÓRIAS DE UMA FOLIONA POUCO OU NADA FABULOSA  ;RACHEL RENÉE RUSSELL
DIÁRIO DE UMA TOTÓ - HISTÓRIAS DE UMA PRINCESA DO GELO POUCO OU NADA ELEGANTE ;RACHEL RENÉE RUSSELL
DIÁRIO DE UMA TOTÓ - HISTÓRIAS DE UMA QUEBRA-CORAÇÕES POUCO OU NADA FELIZ;RACHEL RENÉE RUSSELL
DIÁRIO DE UMA TOTÓ - HISTÓRIAS DE UMA VIDA POUCO OU NADA FABULOSA ;RACHEL RENÉE RUSSELL
DIÁRIO DE UMA TOTÓ - LIVRO 11- HISTÓRIAS DE UMA AMIGA-INIMIGA POUCO OU NADA SIMPÁTICA;RACHEL RENÉE RUSSELL
DIÁRIO DE UMA TOTÓ - LIVRO 14;RACHEL RENÉE RUSSELL
DIÁRIO DE UMA TOTÓ - LIVRO 2- HISTÓRIAS DE UMA FOLIONA POUCO OU NADA FABULOSA;RACHEL RENÉE RUSSELL
DIAS FELIZES DE UMA NÓDOA TEIMOSA;SEBASTIÃO PEIXOTO
DICIONÁRIO DAS PALAVRAS SONHADORAS;ANTÓNIO MOTA
DICIONÁRIO POR IMAGENS DA MONTANHA;ÉMILIE BEAUMONT
DICIONÁRIO POR IMAGENS DA TERRA;ÉMILIE BEAUMONT
DICIONÁRIO POR IMAGENS DOS BEBÉS - AS CORES;ÉMILIE BEAUMONT
DICIONÁRIO POR IMAGENS DOS PEQUENOS GASTRÓNOMOS;MARIE-LAURE BOUET E PHILIPPE SIMON
DINOSSAURO;WALT DISNEY
DIVERTIDA-MENTE ;WALT DISNEY
DIZ-ME PORQUÊ?;CHARLOTTE GROSSETETE
DÓ E MI DESCOBREM VIVALDI;ISABEL ZAMBUJAL E MARIA PEDRO
DOCINHO DE MORANGO - A PEQUENA SEREIA;MEGAN BRYANT
DOCINHO DE MORANGO - EU E A MINHAS AMIGAS;VÁRIOS
DOIDO POR FUTEBOL;VALENTIN VERTHÉ
DOMINGO VAMOS À LUZ;JOSÉ JORGE LETRIA
DONA BRUXA GORDUCHA;ANABELA MIMOSO
DONA MARIA 2, A EDUCADORA;ANDRÉ SERRA
DONA MIQUELINA, O SEU FILHO E A PROFESSORA;SARA MONTEIRO
DONDE VEM A PIMENTA?;MANUELA OLTEN
DONDE VEM O VIDRO;ODILE LIMOUSIN
DORA IMAGINÁSTICA E A AMIGA DE VERDADE;ABBY HANLON
DORA NO MUNDO DOS BRINQUEDOS;VALÉRIE VIDEAU
DOUTORA BRINQUEDOS- O NOVE ESTÁ ÓTIMO!;WALT DISNEY
DOUTORA TIRADENTES;DAVID WALLIAMS
DOUTORA TIRADENTES ;DAVID WALLIAMS
DRAGAN BALL;AUTOR DO LIVRO DRA GANN BALL
DRAGÕES;JUDY TATCHELL
DRAGONBALL SUPER;AKIRA TORIYAMA
DUMBO;ANA MARIA GUEDES, ADAPT
DUMBO;WALT DISNEY
E AGORA ONDE ESTÁ O WALLY?;MARTIN HANDFORD
E DE EVA;CHRISTIAN STAEBLER
É TÃO INJUSTO!     ;PAT THOMSON
É UM LIVRO;LANE SMITH
E VIVERAM FELIZES PARA SEMPRE!;VALTER FOGATO
E VIVERAM FELIZES PARA SEMPRE... EM PALÁCIOS SEPARADOS;VIRGINIA LÓPEZ E INÊS CARLOS
EL DIENTE DE BUBY;JUAN SANZ
ELEFANTE E PORQUINHA – ESPERAR NÃO É FÁCIL!;MO WILLEMS
ELEFANTES NÃO ENTRAM ;LISA MANTCHEV
ELEIÇÃO DOS BICHOS;ANDRÉ RODRIGUES, PEDRO MARKUM, PAULA DESGUALDO E LARISSA RIBEIRO
ELEIÇÃO NA QUINTA!;LEILA RODRIGUES
ÉLIA - A ELEFANTA ELEGANTE;CARMELA D'AMICO
EM 5 MINUTOS - CONTOS DE PRINCESAS ;VÁRIOS 
EM QUE PENSAS TU?;LAURENT MOREAU
EMA, A FADA ESMERALDA E A BUSCA PELA PEDRA BRILHANTE;SARAH CREESE
EMÍLIA E O CHÁ DE TÍLIA;ALEXANDRA PINHEIRO
ENCANTO - O SEGREDO DAS PRINCESAS;TEA STILTON
ENCICLOPÉDIA DO CONHECIMENTO - ANIMAIS;VÁRIOS
ENCICLOPÉDIA DOS DINOSSÁURIOS;MIKE BENTON
ENCICLOPÉDIA JUVENIL ILUSTRADA ;DOMINGOS CASTRO
ENCICLOPÉDIA VISUAL - AUTOMÓVEIS;RICHARD SUTTON
ENCONTRO IMEDIATO COM O T- REX;GERONIMO STILTON
ENCRAVA - LÍNGUAS;JOÃO MANUEL RIBEIRO
ENQUANTO A CIDADE DORME;ÁLVARO MAGALHÃES
ERA UMA ÁRVORE;ANTÓNIO TORRADO
ERA UMA VEZ O CORPO HUMANO  - A RESPIRAÇÃO;JOÃO NORO
ERA UMA VEZ O CORPO HUMANO - O OUVIDO;JOÃO NORO
ERA UMA VEZ UM CÃO;ADÉLIA CARVALHO
ERA UMA VEZ UM MILAGRE DE NATAL;VÁRIOS 
ERA UMA VEZ UM REI QUE ABRAÇOU O MAR;JOSÉ JORGE LETRIA
ERA UMA VEZ UM UNICÓRNIO;BEATRICE BLUE
ERA UMA VEZ UMA MARAVILHA - O PALÁCIO DE QUELUZ;MARIA PEDROSA
ERA UMA VEZ VELHINHA;JEREMY HOLMES
ERA UMA VEZ... MAIS UMA VEZ;SÓNIA SOUSA
ERA UMA VEZ... OS CONTOS FAVORITOS ;FERNANDO MENDES
ERA UMA VEZ… O CORPO HUMANO;JOÃO J. NORO
ERAGON;CHRISTOPHER PAOLINI
ÉS A MINHA MELHOR AMIGA - ODEIO-TE;ROSIE RUSHTON
ÉS TU A PRIMAVERA?;CAROLINE PITCHER
ESCAVA E DESCOBRE DINOSSAUROS ;JONATHAN TENNANT
ESCOLA - O REBELDE ESTÁ DE VOLTA ;JAMES PATTERSON
ESCOLA - OS PIORES ANOS DA MINHA VIDA;JAMES PATTERSON
ESPAÇO;SIMON HOLLAND
ESPAÇO;VÁRIOS 
ESPANTA - PARDAIS;MARIA ROSA COLAÇO
ESPANTA-PARDAIS;MARIA ROSA COLAÇO
ESPERA, MIYUKI;ROXANE GALLIEZ
ESPERANÇA ;ISABEL ZAMBUJAL
ESPERAR NÃO É FÁCIL! ;MO WILLEMS
ESPREITA A HISTÓRIA DE PORTUGAL;JOSÉ JORGE LETRIA
ESPREITA O CONHECIMENTO;VÁRIOS
ESPREITA O CONHECIMENTO ;VÁRIOS
ESPREITA O MUNDO DOS DINOSSAUROS;ALEX FRITH
ESPREITA O MUNDO DOS DINOSSAUROS ;ALEX FRITH
ESPREITA O PLANETA TERRA;KATIE DAYNES E PETER ALLEN
ESPREITA O UNIVERSO;ALEX FRITH
ESPREITA PERGUNTAS E RESPOSTAS SOBRE A CIÊNCIA;KATIE DAYNES
ESPREITA PERGUNTAS E RESPOSTAS SOBRE ANIMAIS;KATIE DEYNES E MARIE -EVE TREMBLAY
ESPREITA PERGUNTAS E RESPOSTAS SOBRE O ESPAÇO;KATIE DAYNES
ESTÁS TÃO CRESCIDA;ANTÓNIO JORGE GONÇALVES
ESTE ALCE É MEU;OLIVER JEFFERS
ESTRANHÕES & BIZARROCOS - ESTÓRIAS PARA ADORMECER ANJOS;JOSÉ EDUARDO AGUALUSA
ESTRELA DO MAR - CARLOTA E CARMINHO E AS HISTÓRIAS DE ADORMECER;FERNANDA VELEZ
EU AJUDO! ;EQUIPA DA RÁDIO COMERCIAL
EU CONTROLO AS EMOÇÕES!;PAULO MOREIRA
EU E O MEU MEDO;FRANCESCA SANNA
EU NÃO TENHO (MUITO) MEDO DO ESCURO;ANNA MILBOURNE & DANIEL RIELEY
EU NUNCA NA VIDA COMEREI TOMATE;LAUREN CHILD
EU QUERO A LUA;JONATHAN EMMETT
EU QUERO UM GATO;TONY ROSS
EU SEI TUDO SOBRE O PAI NATAL;AURÉLIE BLANZ
EU SEI TUDO SOBRE O PAI NATAL;NATHALIE DELEBARRE
EU SOU PUMA FEROZ!;LAURENCE GILLOT 
EU VOU SEMPRE GOSTAR DE TI;MICK E CHOLOE INKPEN
EU VOU SEMPRE GOSTAR DE TI;MICK E CHOLOË INKPEN
EU, ELVIS RIBOLDI;BONO BIDARI
EVA;MARGARIDA BOTELHO
EXPEDIÇÃO À ILHA BORBOLETA;GERONIMO STILTON
EXPERIÊNCIAS LOUCAS E FACTOS BIZARROS;D4RKFRAME
FÁBULAS DE ESOPO;ESOPO
FÁBULAS DE ESOPO ;ANTÓNIO MOTA
FÁBULAS DE LA FONTAINE;JEAN DE LA FONTAINE
FÁBULAS DE LA FONTAINE ;JEAN DE LA FONTAINE
FÁBULAS FABULOSAS;ANTÓNIO TORRADO
FÁBULAS MUSICADAS;ANA MARIA MAGALHÃES E ISABEL ALÇADA
FÁBULAS RECORTADAS - O CAPUCHINHO VERMELHO;IRMÃOS GRIMM
FACTOS INCRÍVEIS;NED HALLEY
FADA JUJU E UMA ESCOLA MÁGICA;PAULA TEIXEIRA
FADA REBUÇADO E A FESTA DE PIJAMA ;MICHELLE TODD
FADAS ;ALISON MALONEY
FAÍSCA MCQUEEN;WALT DISNEY
FALA BICHO;VIOLETA FIGUEIREDO
FANTABULOSIDADES D'AQUI E D'ALÉM;VANDA DE LA SALETE
FANTÁSTICO ATLAS DO CORPO HUMANO;YOYO STUDIOS
FANTÁSTICO ATLAS DOS DINOSSAUROS;YOYO STUDIOS
FAZ O BEM SEM OLHARES A QUEM ;MARIA FERREIRA
FEITO POR MIM;JANE BULL
FELISMINA CARTOLINA E JOÃO PAPELÃO;PEDRO SEROMENHO
FÉLIX, O COLECCIONADOR DE MEDOS;FINA CASALDERREY
FELIZ NATAL;MARIA MAÑERU
FELIZ NATAL!;BEATRIX POTTER
FELIZ NATAL, LOBO MAU;CLARA CUNHA
FERAS E HERÓIS - A ARMADURA DOURADA;ADAM BLADE
FERAS E HERÓIS - VOLUME 24;ADAM BLADE
FÉRIAS EM PORTUGAL;JANEY LOUISE JONES
FERNÃO DIAS E O MISTÉRIO DAS PEDRAS NEGRAS;ISABEL RICARDO AMARAL
FESTA FROZEN - O REINO DO GELO;WALT DISNEY
FESTA NA FLORESTA DOS SONHOS;ULF STARK
FESTA NA FLORESTA DOS SONHOS ;ULF STARK
FIGURAS E FIGURONAS;MARIA ALBERTA MENÉRES
FIVE NIGHTS AT FREDDY'S - OLHOS DE PRATA;SCOTT CAWTHON E KIRA BREED-WRISLEY
FLÁVIO E OS DENTES ASSUSTADORES;JARVIS
FLOCO DE NEVE;JANEY JONES
FOGE, RATO!;MIGUEL BORGES 
FOGE, RATO!   ;MIGUEL BORGES 
FONCHITO E A LUA;MARIO VARGAS LLOSA
FORMIGA DUMA FIGA;ANTÓNIO AVELAR DE PINHO
FORTNITE BATTLE ROYALE:3;ANNE KALICKY E MATHIAS LAVOREL
FREDERICO;LEO LIONNI
FREE FIRE;AFONSO CARAPETA
FRIDA KAHLO;MARÍA HESSE
FROZEN - A INFÂNCIA DA ANNA E ELSA;WALT DISNEY
FROZEN - HISTÓRIA DO FILME;WALT DISNEY
FROZEN 2 - LIVRO DO FILME;WALT DISNEY
FROZEN 2 - VIAGEM MÁGICA;DISNEY
FROZEN 2 - VIAGEM MÁGICA;WALT DISNEY
FROZEN II- VIAGEM MÁGICA;WALT DISNEY
FUGA DO PARQUE DOS HORRORES;R. L. STINE
GABI, A FADA DOS GELADOS;TIM BUGBIRD
GANHEI MIL MILHÕES NA LOTARIA;GERONIMO STILTON
GARFIELD - É O MAIOR;JIM DAVIS
GARFIELD - SEMPRE EM FESTA!;JIM DAVIS
GARFIELD ALARGA A CINTURA ;JIM DAVIS
GARFIELD MASTIGA A GORDURA;JIM DAVIS
GATINHO E A NEVE;JOEL FRANZ ROSELL
GATINHO MÁGICO;SUE BENTLEY
GATINHO MÁGICO - MISTÉRIO À BEIRA-MAR;SUE BENTLEY
GATINHO MÁGICO - PASSOS DE DANÇA;SUE BENTLEY
GATINHO MÁGICO - UM PUZZLE DE QUATRO PATAS;SUE BENTLEY
GATINHO MÁGICO- CAMPO DE FÉRIAS;SUE BENTLEY
GATO DAS BOTAS;ANA ISABEL
GATO MARAU;TRACY-LEE MCGUINESS KELLY
GATO PRETO E PASSARINHOS AZUIS;ANABELA PASSOS
GATOS E GATINHOS;KATHERINE STARKE
GATTA VS KÃO;JAMES PATTERSON E CHRIS GRABENSTEIN
GENTE GIRA;LUÍSA DACOSTA
GERONIMO STILTON - AI, AI, AI, QUE AVENTURA NO HAVAI!;GERONIMO STILTON
GERONIMO STILTON - AS AVENTURAS DE SHERLOCK HOLMES;GERONIMO STILTON
GERONIMO STILTON - AS INCRÍVEIS FÉRIAS NA PENSÃO MIRARRATOS;GERONIMO STILTON
GERONIMO STILTON - DE MEIO RATO A RATO INTEIRO...EM QUATRO DIAS E MEIO!;GERONIMO STILTON
GERONIMO STILTON - DESASTRE NO DIA DE SÃO VALENTIM;GERONIMO STILTON
GERONIMO STILTON - É NATAL, STILTON! ;GERONIMO STILTON
GERONIMO STILTON - NA ROTA DE VASCO DA GAMA;GERONIMO STILTON
GERONIMO STILTON - NO REINO DA FANTASIA;GERONIMO STILTON
GERONIMO STILTON - O ESTRANHO CASO DO CHOCO GIGANTE;GERONIMO STILTON
GERONIMO STILTON - O GRANDE CAMPEONATO DE FUTEBOL;GERONIMO STILTON
GERONIMO STILTON - O GRANDE SEGREDO DO CONDE ;GERONIMO STILTON
GERONIMO STILTON - O MAIOR CONCURSO DE ANEDOTAS DO MUNDO;GERONIMO STILTON
GERONIMO STILTON - O MANUSCRITO MISTERIOSO;GERONIMO STILTON
GERONIMO STILTON - O MISTÉRIO DO RUBI DO ORIENTE;GERONIMO STILTON
GERONIMO STILTON - O SORRISO DE MONA RATISA;GERONIMO STILTON
GERONIMO STILTON - O TESOURO DAS COLINAS NEGRAS ;GERONIMO STILTON
GERONIMO STILTON - SALVEMOS A BALEIA BRANCA;GERONIMO STILTON
GERONIMO STILTON - UMA INCRÍVEL FAMÍLIA;GERONIMO STILTON
GGG - O GRANDE GIGANTE GENTIL;ROALD DAHL
GIGÕES E ANANTES;MANUEL ANTÓNIO PINA
GINÁSTICA ANIMALÁSTICA;ISABEL MINHÓS MARTINS
GOMBBY FAZ ANOS;PEDRO MATIAS MARIA
GONÇALO E A BICHARADA E OUTRA HISTÓRIA;ANTÓNIO TORRADO
GOOSEBUMPS - ARREPIOS;R. L. STINE
GOOSEBUMPS 2 - ACAMPAMENTO FANTASMA;R. L. STINE
GORJUSS- SE EU FOSSE…;SANTORO
GOSTO DE TI ;FERNANDA SERRANO
GOSTO DE TI (QUASE SEMPRE);ANNA LLENAS
GOSTO DE TI (QUASE SEMPRE);ANNA LLENNAS
GOSTO MUITO DE TI, MAMÃ! PAPÁ!;CATHERINE VASE
GRANDE COISA;WILLIAM BEE
GRANDES BIGODES;ANTÓNIO TORRADO
GRÃO DE MILHO;OLALLA GONZÁLEZ
GRAVITY FALLS - AGORA É QUE O PORCO TORCE O RABO;WALT DISNEY
GRAVITY FALLS - AVENTURAS EM DOBRO;WALT DISNEY
GRAVITY FALLS - DIÁRIO 3;ALEX FRITH E PETER SCOTT
GRAVITY FALLS - DIÁRIO 3;ALEX HIRSCH
GRAVITY FALLS - DIÁRIO 3;WALT DISNEY
GRAVITY FALLS - LENDAS PERDIDAS;ALEX HIRSCH
GRAVITY FALLS - LENDAS PERDIDAS;ALEX RICHER
GRAVITY FALLS - NÃO PINTES ESTE LIVRO! ESTÁ AMALDIÇOADO!;WALT DISNEY
GRAVITY FALLS - NOVELA GRÁFICA 1;WALT DISNEY
GRAVITY FALLS - NOVELA GRÁFICA VOLUME 2 ;ALEX HIRSCH
GRAVITY FALLS - PERDIDOS DE AMOR;ALEX HIRSCH
GRAVITY FALLS COMIC 1;WALT DISNEY
GRAVITY FALLS COMIC 2;WALT DISNEY
GRAVITY FALLS- PERDIDOS DE AMOR;WALT DISNEY
GRETA E OS GIGANTES;ZOE TUCKER
GRISELA;ANKE DE VRIES
GUARDIÃO DO TEMPO JOÃO GAIVOTA - NO INÍCIO DOS TEMPOS;JOÃO GAIVOTA
GUGA, UMA HISTÓRIA DE PERSISTÊNCIA E SUPERAÇÃO;VIRGÍNIA SOARES PEREIRA
GUGUI, O DRAGÃO  AZUL;MARGARIDA REBELO PINTO
GUI E A ÁRVORE DOS SORRISOS  ;ZERO A OITO
GUI E A BATALHA CONTRA OS PLÁSTICOS;RITA VILELA
GUI E O NATAL NOS QUATRO CANTOS DO MUNDO;SANDRA SERRA
GUI GANHA UM AMIGO PARA A VIDA;RITA VILELA
GUI UM CAMPEÃO APAIXONADO;SANDRA SERRA
GUIA DE AVES;LARS SVENSSON
GUIA DE AVES PNSAC;PAULO MARQUES E FRANCISCO BARROS
GUILHERME E O ACHAMENTO DA SENHORA DO PRANTO;NUNO GARCIA LOPES
GUILHERME, O VERME;ANTOON KRINGS
GUNI, O UNICÓRNIO - UMA AVENTURA FANTÁSTICA;TAURO
HÁ DIAS ASSIM;MARGARIDA FONSECA SANTOS
HÁ FOGO NA FLORESTA;ANA MARIA MAGALHÃES E ISABEL ALÇADA
HÁ MONSTROS DEBAIXO DA CAMA?;BILL WATTERSON
HÁ MONSTROS NO TÚNEL;DIOGO ALEGRIA PÉCURTO 
HA UM MONSTRO NO TEU LIVRO;TOM FLETCHER
HÁ UM MONSTRO NO TEU LIVRO;TOM FLETCHER
HÁ UM PIRATA NA INTERNET;GERONIMO STILTON
HANSEL E GRETEL;IRMÃOS GRIMM
HARRY POTTER E A CÂMARA DOS SEGREDOS;J. K. ROWLING
HARRY POTTER E A CRIANÇA AMALDIÇOADA;J. K. ROWLING
HARRY POTTER E A ORDEM DA FÉNIX;J. K. ROWLING
HARRY POTTER E A PEDRA FILOSOFAL;J. K. ROWLING
HARRY POTTER E A PEDRA FILOSOFAL ;J. K. ROWLING
HARRY POTTER E AS RELÍQUIAS DA MORTE;J. K. ROWLING
HARRY POTTER E O CÁLICE DE FOGO;J. K. ROWLING
HARRY POTTER E O PRÍNCIPE MISTERIOSO;J. K. ROWLING
HARRY POTTER E O PRISIONEIRO DE ASKABAN;J. K. ROWLING
HARRY POTTER E O PRISIONEIRO DE AZKABAN;J. K. ROWLING
HARRY POTTER E OS TALISMÃS DA MORTE;J. K. ROWLING
HENRIQUE E O DEMÓNIO DO FUTEBOL;FRANCESCA SIMON
HENRIQUE, O TERRÍVEL;FRANCESCA SIMON
HÉRCULES;WALT DISNEY
HISTÓRIA ALEGRE DE PORTUGAL;ARTUR CORREIA
HISTÓRIA COM RECADINHO;LUÍSA DACOSTA
HISTÓRIA DA ÉGUA BRANCA  ;EUGÉNIO DE ANDRADE
HISTÓRIA DA GAIVOTA E DO GATO QUE A ENSINOU A VOAR;LUIS SEPÚLVEDA
HISTÓRIA DAS 5 VOGAIS;LUÍSA DACOSTA
HISTORIA DE PORTUGAL;ANTONIO LEITE DA COSTA
HISTÓRIA DE PORTUGAL ;ORLANDO PASSO AGUIAR
HISTÓRIA DE PORTUGAL. DE D. AFONSO HENRIQUES AO EURO;ANA OOM
HISTÓRIA DE UM CARACOL QUE DESCOBRIU A IMPORTÂNCIA DA LENTIDÃO;LUIS SEPÚLVEDA
HISTÓRIA DE UM GATO E DE UM RATO QUE SE TORNARAM AMIGOS;LUIS SEPÚLVEDA
HISTÓRIA DE UM SEGREDO;JOÃO PAULO COTRIM
HISTÓRIA DE UMA GAIVOTA E DO GATO QUE A ENSINOU A VOAR;LUIS SEPÚLVEDA
HISTÓRIA DO LIVRO ACTIVO;CONCEIÇÃO AREIAS
HISTÓRIA DO SENHOR SISUDO QUE SABIA TUDO TUDO ;MANUELA RIBEIRO
HISTÓRIA DOCUMENTAL DE SÃO TOMÉ E PRÍNCIPE;CARLOS ESPÍRITO SANTO
HISTÓRIAS A RIMAR PARA LER E BRINCAR;ALEXANDRE PARAFITA
HISTÓRIAS À SOLTA NA MINHA RUA;ANTÓNIO TORRADO
HISTÓRIAS COM HISTÓRIA;LUÍSA DACOSTA
HISTÓRIAS DA BRUXA RABUJA;JOSÉ COLAÇO BARREIROS
HISTÓRIAS DA QUINTA;PETER STEVENSON
HISTÓRIAS DAS MIL E UMA NOITES;AMY STEEDMAN
HISTÓRIAS DE (EN)CONTAR DE UM LOBO QUE NÃO GOSTAVA DE MATEMÁTICA;MARIA FRANCISCA MACEDO
HISTÓRIAS DE ADORMECER PARA RAPARIGAS REBELDES - LIVRO 2;FRANCESCA CAVALLO E ELENA FAVILLI
HISTÓRIAS DE ANIMAIS ;DANIELA DE LUCA ET AL.
HISTÓRIAS DE ENCANTAR;ANA OOM
HISTÓRIAS DE ENCANTAR;MARIE-JOSÉ BARDINAT
HISTÓRIAS DE ENCANTAR ;MANUEL GUACCIO
HISTÓRIAS DE ENCANTAR VOLUME 2 - O MACACO DE RABO CORTADO - PINGO DOCE;ANA OOM
HISTÓRIAS DE MENINAS AVENTUREIRAS;JACQUELINE WILSON
HISTÓRIAS DO ARCO DA VELHA;ANTÓNIO BOTTO
HISTÓRIAS ESCRITAS NA CARA - CADA AVÓ É UM LIVRO DE CONTOS ;ISABEL ZAMBUJAL
HISTÓRIAS MÁGICAS;MANUELA GUACCIO
HISTÓRIAS PARA O INVERNO;VÁRIOS
HISTÓRIAS PARA SONHAR;MANUELA GUACCIO
HISTÓRIAS PEQUENAS DE BICHOS PEQUENOS;ÁLVARO MAGALHÃES
HISTÓRIAS QUE O OUTONO ME CONTOU;SOLEDADE COSTA
HISTÓRIAS VIRADAS DO AVESSO;SÓNIA MORAIS SANTOS
HOJE HÁ PALHAÇOS;ANTÓNIO TORRADO
HOJE VOU SER BAILARINA;ANA OOM
HOMEM - ARANHA - CAÍDO ENTRE OS MORTOS;MARK MILLAR
HOMEM-CÃO;DAV PILKEY
HOMEM-CÃO - O DEUS DAS PULGAS;DAV PILKEY
HOMEM-CÃO - O GRITO SELVAGEM;DAV PILKEY
HOMEM-CÃO - POR QUEM A BOLA REBOLA;DAV PILKEY
HOMEM-CÃO - SEM TRELA;DAV PILKEY
HORA DE DEITAR, BALTASAR!;YASMEEN ISMAIL
HORA DO CONTO;VÁRIOS 
HORIZONTE;JOSÉ RUI TEIXEIRA
HOTEL FLAMINGO;ALEX MILWAY
HUGO O STRESSADO - CONTRA O PIRATA;GEORGIA PRITCHETT
HULK;MARVEL COMICS
ÍCARO;FEDERICO DELICADO
IMAGIPÉDIA;VÁRIOS
IMAGIPÉDIA ;VÁRIOS
IMPOSSÍVEL;CATARINA SOBRAL
INCRÍVEL EVOLUÇÃO;ANNA CLAYBOURNE
INÊS, A INVENTORA DE PROFISSÕES;PEDRO SEROMENHO
INFANTE D. HENRIQUE - O NAVEGADOR DOS SONHOS;JOSÉ JORGE LETRIA
INGLATERRA, BERÇO DA LÍNGUA UNIVERSAL;ANA OOM
INGLÊS PARA TOTÓS;GAIL BRENNER
INSPETOR BOLHAS - AMOR E CRIME NO MUNDO DO FUTEBOL;ALEXANDRE HONRADO
INVASÃO DO MUNDO DA SUPERFICIE ;MARK CHEVERTON
INVENTÁRIO ILUSTRADO DOS ANIMAIS;VIRGINIE ALADJIDI
INVENTÁRIO ILUSTRADO DOS INSETOS;VIRGINIE ALADJIDI
IRMÃS;RAINA TELGEMEIER
ISABEL DE ARAGÃO;ISABEL STILWELL
ISTO OU AQUILO?;DOBROSLAV FOLL
JÁ É NATAL?;JANE CHAPMAN
JÁ NÃO ESTOU SÓ!;MARIA MAÑERU
JÁ SOU GRANDE MAMÃ!;ANGELA MEALLISTER
JAIME E AS BOLOTAS;TIM BOWLEY
JAKE E OS PIRATAS DA TERRA DO NUNCA ;WALT DISNEY
JARDIM DO ARCO-ÍRIS;MANUELA RIBEIRO
JOANA D`ARC;CLAUDE GAUVARD
JOÃO E A FLORESTA DE BETÃO;PEDRO REISINHO
JOÃO E MARIA;IRMÃOS GRIMM
JOÃO E O FEIJOEIRO MÁGICO;RICHARD WALKER
JOÃO E O PÉ DE FEIJÃO;BENJAMIN TABART
JOÃO E O PÉ DE FEIJÃO;JOSEPH JACOBS
JOÃO E O PÉ DE FEIJÃO;RONNE RANDALL
JOÃO E O PÉ DE FEIJÃO ;ANDREY DALIY
JOÃO PÉ DE FEIJÃO E MILADY DO SEU CORAÇÃO;JOSÉ FANHA
JOÃO PESTANA ;LUÍSA DACOSTA
JOÃO PORCALHÃO;DAVID ROBERTS
JOÃO, O ZANGÃO;ANTOON KRINGS
JOB, O ÁS DO BILAS;CARLOS CORREIA
JOCA E A NATUREZA;ALEXANDRA BEATRIZ
JOJO, O QUE DANÇA COM A BOLA  ;JOACHIM MASANNEK 
JORGE MOLDER;DELFIM SARDO
JOSÉ VAI AO MÉDICO;MARIA INÊS ALMEIDA
JULIETA E ROMEU;NICOLA CINQUETTI
JUNTOS VAMOS POUPAR;ANA SAMPAIO E ANA ESTEVES
JUNTOS VAMOS POUPAR!;ANA ESTEVES E ANA SAMPAIO
KARATE KID;ROBERT MARK KAMEN
KIKO, O DENTINHO DE LEITE;MANUELA MOTA RIBEIRO
KOIZA   ;DAVID WALLIAMS
KUNG FU PANDA - MESTRE DO DESASTRE;VÁRIOS
LÁ VAI UMA… LÁ VÃO DUAS…;LUÍSA DACOSTA
LAURA E OS MONSTROS DOS SONHOS;KLAUS BAUMGART
LÊ COM A PATRULHA PATA;VÁRIOS
LEÃO E O COELHINHO SALTITÃO;ONDJAKI
LEITURAS E PAPAS DE AVEIA;ANTÓNIO PEDRO MARTINS
LENDAS DO MAR;JOSÉ JORGE LETRIA
LENDAS PORTUGUESAS;FERNANDA FRAZÃO
LENGALENGAS;LUÍSA DACOSTA
LENGALENGAS;LUÍSA DUCLA SOARES
LENGALENGAS DE APRENDER A LER;CARLOS PAIXÃO
LEONARDO DA VINCI;JAVIER ALONSO LOPEZ
LER DOCE LER;JOSÉ JORGE LETRIA
LER, OUVIR E CONTAR;ANTÓNIO TORRADO
LIA, UMA DOCE MENINA;ANABELA CORREIA E ZITA PINTO
LILO & STITCH;WALT DISNEY
LISBOA - PRINCESA DO TEJO E DO MAR;GILDA BARATA
LIVRO CLAP;MADALENA MATOSO
LIVRO COM CHEIRO A BANANA;ALICE VIEIRA
LIVRO COM CHEIRO A BAUNILHA;ALICE VIEIRA
LIVRO COM CHEIRO A CANELA;ALICE VIEIRA
LIVRO COM CHEIRO A CARAMELO;ALICE VIEIRA
LIVRO COM CHEIRO A CHOCOLATE;ALICE VIEIRA
LIVRO COM CHEIRO A CHOCOLATE ;ALICE VIEIRA
LIVRO COM CHEIRO A MORANGO;ALICE VIEIRA
LIVRO DO ESPAÇO;MARIE GREENWOOD
LIVROS MARAVILHOSOS - MÁQUINAS;JEAN RUSH
LIVROS MARAVILHOSOS - PEIXES;CHRISTINE BERNARD
"LOBO ""MAU"" XAU-XAU";FRANCLIM NETO
LOBO BOM OU LOBO MAU?;CLARA CUNHA
LOBO GRANDE & LOBO PEQUENO;NADINE BRUN-COSME
LOBO GRANDE E LOBO PEQUENO;NADINE BRUN-COSME
LOBO PROCURA EMPREGO;ANTÓNIO TORRADO
LOL - AS MAIS DIVERTIDAS ANEDOTAS, PIADAS, ADIVINHAS E TRAVA-LÍNGUAS DE SEMPRE;SARA BRANCO E FRANCISCO PEREIRA
LOUD EM CASA – QUE GRANDE CAOS!   ;NICKELODEON
LUCAS SCARPONE - O GATITANIC ;ÁLVARO MAGALHÃES
LULU E A CEGONHA DESPISTADA;DANIEL PICOULY E FRÉDÉRIC PILLOT
MAC B. MINI ESPIÃO - O CRIME IMPOSSÍVEL;MAC BARNETT
MÃE, FUI DEVOLVER O MANO ;CELINA LOPES
